"TIME","GEO","UNIT","HAZARD","WASTE","WST_OPER","Value","Flag and Footnotes"
"2004","European Union - 27 countries (from 2020)","Tonne","Hazardous and non-hazardous - Total","Total waste","Waste treatment","1,897,000,000",""
"2004","European Union - 27 countries (from 2020)","Tonne","Hazardous and non-hazardous - Total","Total waste","Disposal - landfill and other (D1-D7, D12)","990,490,000",""
"2004","European Union - 27 countries (from 2020)","Tonne","Hazardous and non-hazardous - Total","Total waste","Disposal - landfill (D1, D5, D12)","963,570,000",""
"2004","European Union - 27 countries (from 2020)","Tonne","Hazardous and non-hazardous - Total","Total waste","Disposal - incineration (D10)","36,250,000",""
"2004","European Union - 27 countries (from 2020)","Tonne","Hazardous and non-hazardous - Total","Total waste","Disposal - other (D2-D4, D6-D7)","26,920,000",""
"2004","European Union - 27 countries (from 2020)","Tonne","Hazardous and non-hazardous - Total","Total waste","Recovery - energy recovery (R1)","66,230,000",""
"2004","European Union - 27 countries (from 2020)","Tonne","Hazardous and non-hazardous - Total","Total waste","Recovery - recycling and backfilling (R2-R11)","804,040,000",""
"2004","European Union - 27 countries (from 2020)","Tonne","Hazardous and non-hazardous - Total","Total waste","Recovery - recycling",":",""
"2004","European Union - 27 countries (from 2020)","Tonne","Hazardous and non-hazardous - Total","Total waste","Recovery - backfilling",":",""
"2004","European Union - 27 countries (from 2020)","Tonne","Hazardous","Total waste","Waste treatment","70,210,000",""
"2004","European Union - 27 countries (from 2020)","Tonne","Hazardous","Total waste","Disposal - landfill and other (D1-D7, D12)","36,150,000",""
"2004","European Union - 27 countries (from 2020)","Tonne","Hazardous","Total waste","Disposal - landfill (D1, D5, D12)","34,990,000",""
"2004","European Union - 27 countries (from 2020)","Tonne","Hazardous","Total waste","Disposal - incineration (D10)","3,370,000",""
"2004","European Union - 27 countries (from 2020)","Tonne","Hazardous","Total waste","Disposal - other (D2-D4, D6-D7)","1,170,000",""
"2004","European Union - 27 countries (from 2020)","Tonne","Hazardous","Total waste","Recovery - energy recovery (R1)","5,740,000",""
"2004","European Union - 27 countries (from 2020)","Tonne","Hazardous","Total waste","Recovery - recycling and backfilling (R2-R11)","24,940,000",""
"2004","European Union - 27 countries (from 2020)","Tonne","Hazardous","Total waste","Recovery - recycling",":",""
"2004","European Union - 27 countries (from 2020)","Tonne","Hazardous","Total waste","Recovery - backfilling",":",""
"2004","European Union - 27 countries (from 2020)","Tonne","Non-hazardous","Total waste","Waste treatment","1,826,790,000",""
"2004","European Union - 27 countries (from 2020)","Tonne","Non-hazardous","Total waste","Disposal - landfill and other (D1-D7, D12)","954,340,000",""
"2004","European Union - 27 countries (from 2020)","Tonne","Non-hazardous","Total waste","Disposal - landfill (D1, D5, D12)","928,600,000",""
"2004","European Union - 27 countries (from 2020)","Tonne","Non-hazardous","Total waste","Disposal - incineration (D10)","32,880,000",""
"2004","European Union - 27 countries (from 2020)","Tonne","Non-hazardous","Total waste","Disposal - other (D2-D4, D6-D7)","25,740,000",""
